ID,Year_Birth,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Absurd,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,novelty
5524,1957,1,0,0,04-09-2012,58,1,1,1,1,1,1,3,8,10,4,7,0,0,0,0,0,0,3,11,1,False,False,True,False,False,False,False,False,False,True,False,False,False,Good
2174,1954,1,1,1,08-03-2014,38,1,1,1,1,1,1,2,1,1,2,5,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,False,True,False,False,False,Good
4141,1965,1,0,0,21-08-2013,26,1,1,1,1,1,1,1,8,2,10,4,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,False,False,True,False,False,Good
6182,1984,1,1,0,10-02-2014,26,1,1,1,1,1,1,2,2,0,4,6,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,False,False,True,False,False,Good
5324,1981,1,1,0,19-01-2014,94,1,1,1,1,1,1,5,5,3,6,5,0,0,0,0,0,0,3,11,0,False,False,False,False,True,False,False,False,True,False,False,False,False,Good
7446,1967,1,0,1,09-09-2013,16,1,1,1,0,1,1,2,6,4,10,6,0,0,0,0,0,0,3,11,0,False,False,False,True,False,False,False,False,False,False,True,False,False,Good
965,1971,1,0,1,13-11-2012,34,1,1,1,1,1,1,4,7,3,7,6,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,True,False,False,False,False,False,Good
6177,1985,1,1,0,08-05-2013,32,1,1,1,1,1,1,2,4,0,4,8,0,0,0,0,0,0,3,11,0,False,False,False,False,True,False,False,False,True,False,False,False,False,Good
4855,1974,1,1,0,06-06-2013,19,1,0,1,1,1,1,1,3,0,2,9,0,0,0,0,0,0,3,11,1,False,False,False,False,True,False,False,False,False,False,True,False,False,Good
5899,1950,1,1,1,13-03-2014,68,1,0,1,1,1,1,1,1,0,0,20,1,0,0,0,0,0,3,11,0,False,False,False,False,True,False,False,False,False,False,True,False,False,Novelty
1994,1983,1,1,0,15-11-2013,11,1,1,1,0,1,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,True,False,False,False,False,Good
387,1976,1,0,0,13-11-2012,59,1,1,1,1,1,1,1,2,0,3,8,0,0,0,0,0,0,3,11,0,False,True,False,False,False,False,False,False,True,False,False,False,False,Good
