ID,Year_Birth,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Absurd,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,novelty
5524,1957,1,0,0,04-09-2012,58,1,1,1,1,1,1,3,8,10,4,7,0,0,0,0,0,0,3,11,1,False,False,True,False,False,False,False,False,False,True,False,False,False,NO
2174,1954,1,1,1,08-03-2014,38,1,1,1,1,1,1,2,1,1,2,5,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,False,True,False,False,False,NO
4141,1965,1,0,0,21-08-2013,26,1,1,1,1,1,1,1,8,2,10,4,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,False,False,True,False,False,NO
6182,1984,1,1,0,10-02-2014,26,1,1,1,1,1,1,2,2,0,4,6,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,False,False,True,False,False,NO
5324,1981,1,1,0,19-01-2014,94,1,1,1,1,1,1,5,5,3,6,5,0,0,0,0,0,0,3,11,0,False,False,False,False,True,False,False,False,True,False,False,False,False,NO
7446,1967,1,0,1,09-09-2013,16,1,1,1,0,1,1,2,6,4,10,6,0,0,0,0,0,0,3,11,0,False,False,False,True,False,False,False,False,False,False,True,False,False,NO
965,1971,1,0,1,13-11-2012,34,1,1,1,1,1,1,4,7,3,7,6,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,True,False,False,False,False,False,NO
6177,1985,1,1,0,08-05-2013,32,1,1,1,1,1,1,2,4,0,4,8,0,0,0,0,0,0,3,11,0,False,False,False,False,True,False,False,False,True,False,False,False,False,NO
4855,1974,1,1,0,06-06-2013,19,1,0,1,1,1,1,1,3,0,2,9,0,0,0,0,0,0,3,11,1,False,False,False,False,True,False,False,False,False,False,True,False,False,NO
5899,1950,1,1,1,13-03-2014,68,1,0,1,1,1,1,1,1,0,0,20,1,0,0,0,0,0,3,11,0,False,False,False,False,True,False,False,False,False,False,True,False,False,YES
1994,1983,1,1,0,15-11-2013,11,1,1,1,0,1,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,True,False,False,False,False,NO
387,1976,1,0,0,13-11-2012,59,1,1,1,1,1,1,1,2,0,3,8,0,0,0,0,0,0,3,11,0,False,True,False,False,False,False,False,False,True,False,False,False,False,NO
2125,1959,1,0,0,15-11-2013,82,1,1,1,1,1,1,1,3,4,8,2,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,True,False,False,False,False,False,NO
8180,1952,1,1,1,15-11-2013,53,1,1,1,1,1,1,3,6,1,5,6,0,0,0,0,0,0,3,11,0,False,False,False,True,False,False,False,True,False,False,False,False,False,NO
2569,1987,1,0,0,10-10-2012,38,1,1,1,1,1,1,1,1,0,3,8,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,True,False,False,False,False,NO
2114,1946,1,0,0,24-11-2012,23,1,1,1,1,1,1,1,7,6,12,3,0,0,1,1,0,0,3,11,1,False,False,False,False,True,False,False,False,False,True,False,False,False,YES
9736,1980,1,1,1,24-12-2012,51,1,1,1,1,1,1,3,3,0,3,8,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,True,False,False,False,False,NO
4939,1946,1,0,0,31-08-2012,20,1,1,1,1,1,1,2,4,1,6,7,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,False,False,True,False,False,NO
6565,1949,1,0,1,28-03-2013,91,1,1,1,0,1,1,2,11,4,9,5,0,0,0,1,0,0,3,11,0,False,False,False,True,False,False,False,False,True,False,False,False,False,NO
2278,1985,1,1,0,03-11-2012,86,1,1,1,1,1,1,2,2,1,3,6,0,0,0,0,0,0,3,11,0,True,False,False,False,False,False,False,False,False,True,False,False,False,NO
9360,1982,1,0,0,08-08-2012,41,1,1,1,1,1,1,1,4,2,5,8,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,True,False,False,False,False,NO
5376,1979,1,1,0,06-01-2013,42,1,1,1,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,True,False,False,False,False,YES
1993,1949,1,0,1,23-12-2012,63,1,0,1,0,0,1,3,2,3,9,8,0,1,0,0,0,0,3,11,0,False,False,False,False,True,False,False,False,True,False,False,False,False,YES
4047,1954,1,0,1,11-01-2014,0,1,0,1,1,1,1,3,6,2,9,4,0,0,0,0,0,0,3,11,0,False,False,False,False,True,False,False,False,True,False,False,False,False,NO
1409,1951,1,0,1,18-03-2013,69,1,1,1,1,1,1,7,7,1,5,8,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,False,False,True,False,False,NO
7892,1969,1,0,0,02-01-2013,89,1,1,1,1,1,1,2,2,1,3,7,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,False,True,False,False,False,NO
2404,1976,1,1,1,27-05-2013,4,1,1,1,1,1,1,4,5,1,4,7,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,True,False,False,False,False,NO
5255,1986,1,1,0,20-02-2013,19,1,1,1,1,1,1,0,27,0,0,1,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,False,True,False,False,False,NO
9422,1989,1,1,0,31-05-2013,26,1,1,1,1,1,1,2,2,1,4,3,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,True,False,False,False,False,NO
1966,1965,1,0,0,22-11-2013,96,1,1,1,1,1,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,False,False,False,False,True,False,False,False,True,False,False,False,False,YES
6864,1989,1,0,0,22-05-2014,34,1,1,1,1,1,1,2,3,0,3,5,0,0,0,0,0,0,3,11,0,False,False,False,True,False,False,False,True,False,False,False,False,False,NO
3033,1963,1,0,0,11-05-2013,56,1,1,1,1,1,1,1,2,5,3,3,0,0,0,0,0,0,3,11,0,False,False,False,True,False,False,False,False,False,False,True,False,False,NO
5710,1970,1,0,1,10-10-2012,31,1,0,1,1,0,1,2,2,1,4,5,0,1,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,False,False,True,False,False,NO
